AFFGEOID,Target Area
0500000US48495,32926.061900
0500000US37117,32926.061900
0500000US13215,206922.000000
0500000US53077,256728.000000
0500000US30015,32926.061900
0500000US53033,2269675.000000
0500000US22033,456781.000000
0500000US38019,32926.061900
0500000US01089,388153.000000
0500000US37113,37014.000000
0500000US37039,32926.061900
0500000US51155,33800.000000
0500000US37161,64444.000000
0500000US38059,33291.000000
0500000US48081,32926.061900
0500000US13107,32926.061900
0500000US51113,32926.061900
0500000US48029,2009324.000000
0500000US51125,32926.061900
0500000US47025,32926.061900
0500000US17097,714342.000000
0500000US47081,32926.061900
0500000US13251,32926.061900
0500000US53045,65726.000000
0500000US37199,32926.061900
0500000US42071,552984.000000
0500000US27137,200231.000000
0500000US18089,498700.000000
0500000US48075,32926.061900
0500000US28049,227742.000000
0500000US36031,37381.000000
0500000US42063,83246.000000
0500000US32011,32926.061900
0500000US47105,54886.000000
0500000US37083,48622.000000
0500000US29029,42745.000000
0500000US48161,32926.061900
0500000US51177,140032.000000
0500000US26041,36903.000000
0500000US51195,36130.000000
0500000US39107,42528.000000
0500000US40113,45818.000000
0500000US19189,32926.061900
0500000US48261,32926.061900
0500000US27011,32926.061900
0500000US17153,22408.745056
0500000US23031,211972.000000
0500000US55051,32926.061900
0500000US24019,32926.061900
0500000US05147,32926.061900
0500000US26083,32926.061900
0500000US21237,24968.604401
0500000US08019,32926.061900
0500000US05013,32926.061900
0500000US21177,32926.061900
0500000US48089,32926.061900
0500000US26071,32926.061900
0500000US30003,32926.061900
0500000US21115,28470.187805
0500000US35051,32926.061900
0500000US21027,32926.061900
0500000US01095,97612.000000
0500000US22063,142282.000000
0500000US23021,32926.061900
0500000US30001,32926.061900
0500000US01073,674721.000000
0500000US24009,92783.000000
0500000US22091,32926.061900
0500000US47033,29152.505713
0500000US22077,32926.061900
0500000US01069,107202.000000
0500000US01063,32926.061900
0500000US41019,111201.000000
0500000US18065,48914.000000
0500000US22021,32926.061900
0500000US12007,32926.061900
0500000US36047,2736074.000000
0500000US30029,104357.000000
0500000US30093,35133.000000
0500000US01005,32926.061900
0500000US06103,65829.000000
0500000US22041,32926.061900
0500000US06089,182155.000000
0500000US13001,32926.061900
0500000US53007,79074.000000
0500000US24001,68106.000000
0500000US01091,32926.061900
0500000US37125,99727.000000
0500000US46117,32926.061900
0500000US36065,232125.000000
0500000US51161,96929.000000
0500000US54013,30893.004058
0500000US08015,32926.061900
0500000US42061,44092.000000
0500000US48205,32926.061900
0500000US01085,32926.061900
0500000US05099,32926.061900
0500000US05075,32926.061900
0500000US06107,473117.000000
0500000US06071,2181654.000000
0500000US16039,32926.061900
0500000US55043,51938.000000
0500000US45071,37719.000000
0500000US48155,32926.061900
0500000US47059,70152.000000
0500000US45063,293991.000000
0500000US41055,32926.061900
0500000US36103,1525920.000000
0500000US48393,32926.061900
0500000US30047,32926.061900
0500000US47157,929744.000000
0500000US44005,85643.000000
0500000US22085,32926.061900
0500000US19091,32926.061900
0500000US33007,32926.061900
0500000US53075,47973.000000
0500000US26013,32926.061900
0500000US24035,49874.000000
0500000US25013,465825.000000
0500000US25021,725981.000000
0500000US23015,35237.000000
0500000US45061,32926.061900
0500000US48167,350682.000000
0500000US49035,1185238.000000
0500000US51007,32926.061900
0500000US37023,87570.000000
0500000US06097,488863.000000
0500000US48395,32926.061900
0500000US50009,32926.061900
0500000US51139,32926.061900
0500000US37133,204576.000000
0500000US13139,203136.000000
0500000US37015,32926.061900
0500000US36077,58524.000000
0500000US12031,995567.000000
0500000US34005,461860.000000
0500000US48245,256526.000000
0500000US27077,32926.061900
0500000US51147,32926.061900
0500000US06025,179702.000000
0500000US08029,32926.061900
0500000US10001,181851.000000
0500000US12033,321905.000000
0500000US48457,32926.061900
0500000US19111,33555.000000
0500000US48215,870781.000000
0500000US48413,32926.061900
0500000US32027,32926.061900
0500000US22111,32926.061900
0500000US13317,32926.061900
0500000US13305,32926.061900
0500000US01001,58805.000000
0500000US45055,65403.000000
0500000US51149,43010.000000
0500000US19147,32926.061900
0500000US22115,48750.000000
0500000US53015,110730.000000
0500000US08109,32926.061900
0500000US30105,32926.061900
0500000US48441,143208.000000
0500000US12089,90352.000000
0500000US18069,36662.000000
0500000US48373,50123.000000
0500000US16079,32926.061900
0500000US51175,32926.061900
0500000US29205,32926.061900
0500000US47175,29886.092719
0500000US47185,32926.061900
0500000US47041,32926.061900
0500000US49029,32926.061900
0500000US21205,31697.372500
0500000US21079,26154.018900
0500000US22071,383997.000000
0500000US51840,28120.000000
0500000US21181,21343.083408
0500000US27171,141337.000000
0500000US36043,60139.000000
0500000US08117,32926.061900
0500000US48315,32926.061900
0500000US47123,46250.000000
0500000US48219,32926.061900
0500000US05011,32926.061900
0500000US05103,32926.061900
0500000US09007,164245.000000
0500000US48277,50088.000000
0500000US20003,32926.061900
0500000US42035,37450.000000
0500000US22059,32926.061900
0500000US37137,32926.061900
0500000US28029,32926.061900
0500000US45019,408235.000000
0500000US12009,606612.000000
0500000US29095,717204.000000
0500000US05139,39054.000000
0500000US54019,40488.000000
0500000US18161,18085.411815
0500000US05029,32926.061900
0500000US37123,32926.061900
0500000US12086,2701767.000000
0500000US51193,26866.812345
0500000US06027,32926.061900
0500000US06053,439035.000000
0500000US35039,40363.000000
0500000US51171,44186.000000
0500000US42003,1250578.000000
0500000US19033,43127.000000
0500000US36045,116721.000000
0500000US09009,864835.000000
0500000US48171,32926.061900
0500000US04021,425264.000000
0500000US06093,44076.000000
0500000US24031,1062061.000000
0500000US01117,223024.000000
0500000US41065,32926.061900
0500000US54045,32926.061900
0500000US48401,52214.000000
0500000US17003,27253.534624
0500000US23027,39607.000000
0500000US37193,65969.000000
0500000US48129,32926.061900
0500000US21179,46738.000000
0500000US54023,32926.061900
0500000US36053,68016.000000
0500000US13051,295291.000000
0500000US38077,32926.061900
0500000US22009,39693.000000
0500000US48349,52624.000000
0500000US40133,32926.061900
0500000US53027,75636.000000
0500000US24017,166617.000000
0500000US48071,46571.000000
0500000US12053,194515.000000
0500000US53017,42938.000000
0500000US28017,32926.061900
0500000US21097,32926.061900
0500000US51019,79462.000000
0500000US22079,130023.000000
0500000US34025,643615.000000
0500000US35007,32926.061900
0500000US28137,32926.061900
0500000US27075,32926.061900
0500000US48391,32926.061900
0500000US28033,185314.000000
0500000US06017,191185.000000
0500000US30045,32926.061900
0500000US40101,66339.000000
0500000US21059,103312.000000
0500000US28109,56145.000000
0500000US06003,32926.061900
0500000US28163,32926.061900
0500000US24013,172891.000000
0500000US47091,32806.843468
0500000US08055,32926.061900
0500000US49037,32926.061900
0500000US40065,32926.061900
0500000US47089,54683.000000
0500000US21189,21784.851334
0500000US12107,73321.000000
0500000US55023,32926.061900
0500000US40031,121125.000000
0500000US12023,69698.000000
0500000US18083,36282.000000
0500000US45025,43273.000000
0500000US37009,32926.061900
0500000US51057,29056.927527
0500000US55003,32926.061900
0500000US37019,136693.000000
0500000US46125,32926.061900
0500000US32033,32926.061900
0500000US45007,203718.000000
0500000US49005,133154.000000
0500000US54109,32926.061900
0500000US05045,123498.000000
0500000US54039,180745.000000
0500000US13135,957062.000000
0500000US40025,32926.061900
0500000US18001,35809.000000
0500000US22097,82540.000000
0500000US51121,99721.000000
0500000US48313,32926.061900
0500000US30011,32926.061900
0500000US22005,126500.000000
0500000US45041,137059.000000
0500000US53009,77155.000000
0500000US21065,27272.172897
0500000US48453,1290188.000000
0500000US29197,32926.061900
0500000US22015,128746.000000
0500000US13029,44738.000000
0500000US13303,32926.061900
0500000US37171,71359.000000
0500000US28021,32926.061900
0500000US46095,32926.061900
0500000US48335,32926.061900
0500000US30039,32926.061900
0500000US22035,32926.061900
0500000US08069,359066.000000
0500000US20143,32926.061900
0500000US45045,525534.000000
0500000US22037,32926.061900
0500000US20009,32926.061900
0500000US16061,32926.061900
0500000US49011,362679.000000
0500000US35055,34489.000000
0500000US48449,32926.061900
0500000US30033,32926.061900
0500000US48459,40892.000000
0500000US06047,281202.000000
0500000US36071,401310.000000
0500000US18147,32926.061900
0500000US46047,32926.061900
0500000US25011,71029.000000
0500000US51083,34022.000000
0500000US51095,78254.000000
0500000US16041,32926.061900
0500000US45083,327997.000000
0500000US39167,59771.000000
0500000US42045,576830.000000
0500000US08093,32926.061900
0500000US37051,334728.000000
0500000US30031,118960.000000
0500000US22039,32926.061900
0500000US19093,32926.061900
0500000US01009,59134.000000
